Time,PlatformId,"Location (Lat, Long, Alt)","Orientation (Heading, Pitch, Roll)",Speed (m/s),FuelReserve,FuelBingo,FuelQuantity,FuelInitial,Name,Side,Domain
18,3,"[-27.472782,152.92021,304.79999]","[-3.0862788,0.0,0.0]",61.73333359,0,4082.33137,11497.93973,11521.24631,red3,red,2
18,4,"[-27.483753,152.74307,304.79999]","[2.0449015,0.0,0.0]",61.73333359,0,4082.33137,11497.89649,11521.24631,red4,red,2
18,5,"[-27.437262,152.78951,304.79999]","[2.0334316,0.0,0.0]",61.73333359,0,4082.33137,11497.89649,11521.24631,red5,red,2
18,6,"[-27.51269,153.11324,304.79999]","[-1.8133498,0.0,0.0]",61.73333359,0,4082.33137,11497.89649,11521.24631,red6,red,2
18,7,"[-27.717768,152.89167,304.79999]","[-5.5511363e-17,0.0,0.0]",61.73333359,0,2267.961872,7697.749639,7711.070366,blue1,blue,2
18,8,"[-27.548513,152.68588,304.79999]","[1.3089115,0.0,0.0]",61.73333359,0,2267.961872,7697.712534,7711.070366,blue2,blue,2
19,1,"[-27.366886,153.0694,304.79999]","[-2.5112014,0.0,0.0]",61.73333359,0,4082.33137,11496.6209,11521.24631,red1,red,2
19,2,"[-27.1994,153.07256,304.79999]","[-3.0289166,0.0,0.0]",61.73333359,0,4082.33137,11496.64252,11521.24631,red2,red,2
19,3,"[-27.473339,152.92018,304.79999]","[-3.0862785,0.0,0.0]",61.73333359,0,4082.33137,11496.64252,11521.24631,red3,red,2
19,4,"[-27.484007,152.74362,304.79999]","[2.0448971,0.0,0.0]",61.73333359,0,4082.33137,11496.59928,11521.24631,red4,red,2
19,5,"[-27.437511,152.79007,304.79999]","[2.0334271,0.0,0.0]",61.73333359,0,4082.33137,11496.59928,11521.24631,red5,red,2
19,6,"[-27.512824,153.11263,304.79999]","[-1.8133449,0.0,0.0]",61.73333359,0,4082.33137,11496.59928,11521.24631,red6,red,2
19,7,"[-27.71721,152.89167,304.79999]","[-2.7755681e-17,0.0,0.0]",61.73333359,0,2267.961872,7697.007537,7711.070366,blue1,blue,2
19,8,"[-27.548373,152.68646,304.79999]","[1.3089068,0.0,0.0]",61.73333359,0,2267.961872,7696.995169,7711.070366,blue2,blue,2
20,1,"[-27.367336,153.06903,304.79999]","[-2.5111985,0.0,0.0]",61.73333359,0,4082.33137,11495.32368,11521.24631,red1,red,2
20,2,"[-27.199954,153.07249,304.79999]","[-3.028916,0.0,0.0]",61.73333359,0,4082.33137,11495.3453,11521.24631,red2,red,2
20,3,"[-27.473896,152.92014,304.79999]","[-3.0862782,0.0,0.0]",61.73333359,0,4082.33137,11495.3453,11521.24631,red3,red,2
